shipment_id,order_id,carrier,ship_mode,origin_country,destination_country,dispatch_date,estimated_arrival,actual_arrival,freight_cost,weight_kg,delivery_status,delay_days
SHIP00885,ORD01437,Maersk,Sea,China,Saudi Arabia,2023-10-20,2023-11-24,,192.36,50.02,In Transit,
SHIP00886,ORD01809,Maersk,Sea,India,South Korea,2024-08-10,2024-09-17,2024-09-17,204.93,68.44,Delivered,0.0
SHIP00887,ORD04667,Blue Dart,Sea,China,UAE,2024-06-29,2024-08-06,2024-08-07,491.21,390.74,Delivered,1.0
SHIP00888,ORD04516,Nippon Express,Sea,India,South Korea,2023-06-20,2023-08-01,2023-08-13,588.83,542.84,Delayed,12.0
SHIP00889,ORD02649,Nippon Express,Air,Vietnam,Japan,2022-10-19,2022-10-23,,21038.18,3343.0,In Transit,
SHIP00890,ORD01490,FedEx,Air,Malaysia,Netherlands,2024-03-13,2024-03-18,,2855.0,394.96,In Transit,
SHIP00891,ORD04944,Blue Dart,Sea,India,Canada,2022-09-12,2022-10-21,2022-10-21,230.1,108.88,Delivered,0.0
SHIP00892,ORD02018,Nippon Express,Rail,Vietnam,Thailand,2024-02-22,2024-03-10,2024-03-21,84.74,2.94,Delivered,11.0
SHIP00893,ORD01402,Maersk,Sea,China,Saudi Arabia,2023-03-14,2023-04-24,,391.21,326.16,In Transit,
SHIP00894,ORD04364,DB Schenker,Sea,India,South Korea,2023-09-05,2023-10-12,2023-10-12,181.02,37.7,Delivered,0.0
SHIP00895,ORD00778,Maersk,Air,Malaysia,Germany,2024-01-13,2024-01-16,2024-01-23,1635.11,224.85,Delayed,7.0
SHIP00896,ORD04829,FedEx,Sea,Malaysia,Mexico,2022-09-25,2022-11-07,2022-12-03,538.65,527.34,Delayed,26.0
SHIP00897,ORD02680,Blue Dart,Sea,India,UK,2024-02-19,2024-03-08,2024-03-08,184.74,39.48,Delivered,0.0
SHIP00898,ORD02818,Maersk,Sea,China,India,2024-04-04,2024-04-29,2024-04-29,230.12,100.52,Delivered,0.0
SHIP00899,ORD03748,Blue Dart,Sea,Vietnam,Indonesia,2024-04-03,2024-04-24,2024-04-24,1693.48,1933.03,Delivered,0.0
SHIP00900,ORD02950,DHL,Sea,Vietnam,Japan,2022-11-15,2022-12-06,2022-12-13,321.46,221.28,Delivered,7.0
SHIP00901,ORD01641,DB Schenker,Air,Malaysia,Netherlands,2024-02-22,2024-02-29,2024-03-05,244.99,29.07,Delivered,5.0
SHIP00902,ORD03173,DB Schenker,Sea,Vietnam,India,2023-07-24,2023-08-14,2023-08-14,3192.18,3837.1,Delivered,0.0
SHIP00903,ORD04703,Maersk,Air,Malaysia,Japan,2023-09-28,2023-10-02,2023-10-11,22793.01,3737.15,Delivered,9.0
SHIP00904,ORD03177,Nippon Express,Rail,China,Thailand,2023-05-27,2023-06-13,2023-06-13,3880.56,2540.73,Delivered,0.0
SHIP00905,ORD03821,FedEx,Air,Malaysia,Bangladesh,2022-10-17,2022-10-24,2022-11-04,960.73,135.94,Delayed,11.0
SHIP00906,ORD03714,Nippon Express,Air,India,UAE,2022-09-09,2022-09-16,2022-09-16,1560.1,254.98,Delivered,0.0
SHIP00907,ORD02183,Maersk,Air,China,UAE,2024-10-07,2024-10-13,2024-10-13,3473.35,500.61,Delivered,0.0
SHIP00908,ORD04885,FedEx,Sea,India,Canada,2022-04-19,2022-05-14,2022-05-20,1927.04,2194.45,Delivered,6.0
SHIP00909,ORD00958,Blue Dart,Air,India,Germany,2024-01-19,2024-01-22,2024-01-22,98.35,6.4,Delivered,0.0
SHIP00910,ORD00620,DB Schenker,Sea,Malaysia,Germany,2022-09-17,2022-10-21,,250.79,117.91,In Transit,
SHIP00911,ORD03538,FedEx,Air,Vietnam,Netherlands,2023-08-11,2023-08-14,2023-08-14,883.86,126.83,Delivered,0.0
SHIP00912,ORD03497,DHL,Sea,Vietnam,India,2024-12-10,2025-01-18,2025-01-18,175.41,32.24,Delivered,0.0
SHIP00913,ORD04333,Maersk,Sea,Malaysia,Italy,2023-03-23,2023-04-11,2023-04-16,176.61,34.06,Delayed,5.0
SHIP00914,ORD03445,Maersk,Air,Vietnam,France,2024-04-27,2024-04-30,2024-04-30,37731.58,5483.34,Delivered,0.0
SHIP00915,ORD01519,Nippon Express,Air,India,USA,2022-02-10,2022-02-13,2022-02-16,5052.06,838.26,Delayed,3.0
SHIP00916,ORD02702,Blue Dart,Sea,Malaysia,Mexico,2024-11-18,2024-12-14,2024-12-24,201.44,61.76,Delivered,10.0
SHIP00917,ORD03537,DHL,Sea,Vietnam,South Korea,2024-11-11,2024-12-14,2024-12-14,202.26,63.58,Delivered,0.0
SHIP00918,ORD02571,Nippon Express,Sea,China,Japan,2022-04-23,2022-05-19,2022-05-19,235.03,107.94,Delivered,0.0
SHIP00919,ORD02028,DHL,Air,Malaysia,South Korea,2022-08-17,2022-08-24,2022-08-27,652.74,83.64,Delayed,3.0
SHIP00920,ORD04655,DB Schenker,Sea,China,Italy,2022-05-13,2022-05-30,2022-05-30,2746.78,3213.38,Delivered,0.0
SHIP00921,ORD03163,FedEx,Sea,Vietnam,Japan,2022-05-18,2022-06-05,,531.93,468.44,In Transit,
SHIP00922,ORD02322,DB Schenker,Sea,Vietnam,Canada,2022-04-21,2022-05-29,2022-06-12,4368.49,5009.5,Delayed,14.0
SHIP00923,ORD01315,FedEx,Sea,Malaysia,Australia,2023-08-18,2023-09-20,2023-09-20,943.54,967.67,Delivered,0.0
SHIP00924,ORD03134,Nippon Express,Sea,India,France,2023-01-11,2023-02-12,2023-02-12,1018.27,1015.68,Delivered,0.0
SHIP00925,ORD03286,DHL,Air,Vietnam,UK,2022-09-30,2022-10-06,2022-10-14,1084.26,166.61,Delivered,8.0
SHIP00926,ORD01643,FedEx,Sea,China,Bangladesh,2022-12-07,2023-01-04,,580.8,509.39,In Transit,
SHIP00927,ORD00157,Blue Dart,Sea,Vietnam,Japan,2024-04-24,2024-05-14,,194.42,60.84,In Transit,
SHIP00928,ORD03955,DB Schenker,Air,Vietnam,South Korea,2024-02-16,2024-02-21,2024-02-21,9128.7,1345.86,Delivered,0.0
SHIP00929,ORD00470,Maersk,Sea,Malaysia,Saudi Arabia,2023-02-28,2023-03-23,2023-03-25,3060.42,3316.1,Delivered,2.0
SHIP00930,ORD03664,Maersk,Sea,China,Australia,2022-03-05,2022-04-14,2022-04-14,151.41,1.7,Delivered,0.0
SHIP00931,ORD01531,Maersk,Sea,India,Singapore,2022-10-18,2022-11-26,,155.18,6.7,In Transit,
SHIP00932,ORD04808,Nippon Express,Sea,Vietnam,Mexico,2022-07-03,2022-08-02,,224.89,93.49,In Transit,
SHIP00933,ORD04812,DB Schenker,Sea,China,Australia,2024-10-29,2024-12-08,2024-12-18,1068.79,1045.44,Delivered,10.0
SHIP00934,ORD03778,FedEx,Sea,China,Saudi Arabia,2022-10-12,2022-11-01,2022-11-01,2987.9,3562.4,Delivered,0.0
SHIP00935,ORD01349,DB Schenker,Air,China,Indonesia,2023-10-10,2023-10-17,2023-10-26,378.0,46.26,Delayed,9.0
SHIP00936,ORD01742,DB Schenker,Sea,India,France,2022-10-14,2022-11-08,,4768.87,6165.31,In Transit,
SHIP00937,ORD04304,Nippon Express,Sea,China,Singapore,2023-02-27,2023-03-15,2023-03-15,1053.71,1057.54,Delivered,0.0
SHIP00938,ORD01122,FedEx,Sea,China,Germany,2023-02-08,2023-03-02,2023-03-02,1082.66,1246.51,Delivered,0.0
SHIP00939,ORD00746,FedEx,Air,India,Bangladesh,2024-05-12,2024-05-17,2024-05-27,24783.62,3461.85,Delivered,10.0
SHIP00940,ORD01139,DB Schenker,Air,China,UAE,2023-10-17,2023-10-24,2023-10-24,5309.1,876.29,Delivered,0.0
SHIP00941,ORD02493,DB Schenker,Sea,China,South Korea,2022-03-12,2022-04-05,2022-04-05,1055.2,1158.94,Delivered,0.0
SHIP00942,ORD03463,Blue Dart,Air,China,Bangladesh,2024-08-30,2024-09-04,2024-09-04,105.04,6.66,Delivered,0.0
SHIP00943,ORD02593,Blue Dart,Air,Vietnam,Netherlands,2022-10-22,2022-10-28,2022-10-28,3845.59,555.18,Delivered,0.0
SHIP00944,ORD02152,Blue Dart,Air,Vietnam,UK,2022-05-19,2022-05-24,,13209.12,2104.46,In Transit,
SHIP00945,ORD03477,Maersk,Sea,India,UK,2023-06-15,2023-07-26,2023-08-06,5172.15,6156.89,Delivered,11.0
SHIP00946,ORD03801,DB Schenker,Sea,Vietnam,UAE,2023-03-24,2023-04-10,2023-04-10,1969.72,2480.5,Delivered,0.0
SHIP00947,ORD02604,DHL,Sea,Vietnam,Germany,2023-02-15,2023-03-26,2023-03-26,281.01,180.52,Delivered,0.0
SHIP00948,ORD02630,Maersk,Road,Malaysia,Thailand,2022-12-18,2022-12-22,2022-12-22,1659.98,793.92,Delivered,0.0
SHIP00949,ORD02426,DHL,Sea,Vietnam,Germany,2022-11-27,2022-12-30,2023-01-17,3592.02,4393.12,Delayed,18.0
SHIP00950,ORD00446,DB Schenker,Sea,India,Thailand,2022-06-20,2022-07-25,2022-07-25,224.31,93.1,Delivered,0.0
SHIP00951,ORD03825,DB Schenker,Air,Vietnam,Indonesia,2022-11-04,2022-11-09,2022-11-21,513.43,75.84,Delayed,12.0
SHIP00952,ORD01194,Nippon Express,Air,India,France,2023-05-08,2023-05-13,,4582.2,704.22,Lost,
SHIP00953,ORD03429,Blue Dart,Air,China,UK,2023-05-16,2023-05-22,2023-05-22,2176.93,300.97,Delivered,0.0
SHIP00954,ORD03013,DB Schenker,Sea,India,Canada,2023-10-02,2023-10-20,2023-10-28,184.71,42.59,Delivered,8.0
SHIP00955,ORD02945,Nippon Express,Road,India,Singapore,2023-07-29,2023-08-04,2023-08-13,587.62,258.86,Delayed,9.0
SHIP00956,ORD02462,Blue Dart,Air,Malaysia,Singapore,2023-12-22,2023-12-25,2024-01-08,12899.08,2106.64,Delayed,14.0
SHIP00957,ORD02480,Blue Dart,Rail,India,Singapore,2023-06-18,2023-06-29,2023-07-02,1769.16,1123.31,Delayed,3.0
SHIP00958,ORD04828,Nippon Express,Sea,China,Australia,2024-06-01,2024-07-01,2024-07-24,2301.4,2836.78,Delayed,23.0
SHIP00959,ORD02750,FedEx,Sea,Malaysia,Indonesia,2024-11-17,2024-12-27,2025-01-09,557.98,468.5,Delivered,13.0
SHIP00960,ORD00087,Nippon Express,Air,Vietnam,Singapore,2024-01-29,2024-02-05,2024-02-05,75.44,2.46,Delivered,0.0
SHIP00961,ORD01439,FedEx,Air,China,Italy,2023-08-22,2023-08-28,,1706.15,278.6,In Transit,
SHIP00962,ORD04873,FedEx,Sea,India,USA,2024-09-24,2024-10-13,2024-10-13,3543.96,4014.74,Delivered,0.0
SHIP00963,ORD02315,Maersk,Air,Vietnam,Singapore,2023-11-13,2023-11-16,2023-12-07,43564.94,6324.46,Delayed,21.0
SHIP00964,ORD01451,FedEx,Sea,Malaysia,South Korea,2022-04-17,2022-05-24,2022-05-24,151.54,1.79,Delivered,0.0
SHIP00965,ORD00018,Blue Dart,Air,China,France,2024-06-30,2024-07-05,,11305.39,1626.24,In Transit,
SHIP00966,ORD02943,Maersk,Road,Vietnam,India,2024-12-23,2024-12-29,2025-01-02,1451.43,668.7,Delayed,4.0
SHIP00967,ORD04993,Maersk,Air,India,UAE,2022-03-24,2022-03-28,2022-03-28,4612.54,665.52,Delivered,0.0
SHIP00968,ORD02422,Maersk,Sea,Vietnam,Japan,2023-03-23,2023-04-29,2023-05-13,1056.82,1057.73,Delivered,14.0
SHIP00969,ORD00044,Blue Dart,Rail,China,Bangladesh,2022-02-12,2022-02-26,2022-02-26,652.55,357.03,Delivered,0.0
SHIP00970,ORD00323,DB Schenker,Sea,Malaysia,Saudi Arabia,2022-06-18,2022-07-11,2022-07-19,217.72,85.42,Delivered,8.0
SHIP00971,ORD04134,Nippon Express,Road,India,India,2023-06-12,2023-06-22,2023-06-22,69.83,13.03,Delivered,0.0
SHIP00972,ORD04333,Blue Dart,Sea,Malaysia,Italy,2023-03-23,2023-04-30,2023-04-30,179.59,34.06,Delivered,0.0
SHIP00973,ORD04777,Nippon Express,Sea,Malaysia,Australia,2023-02-24,2023-04-03,2023-04-03,151.13,1.38,Delivered,0.0
SHIP00974,ORD01296,DHL,Sea,China,Australia,2022-06-23,2022-08-05,2022-08-05,1998.87,2396.59,Delivered,0.0
SHIP00975,ORD01251,DHL,Air,Vietnam,Canada,2023-09-15,2023-09-19,2023-09-19,39881.84,6687.14,Delivered,0.0
SHIP00976,ORD04442,DB Schenker,Air,Vietnam,Australia,2023-11-06,2023-11-10,2023-12-03,3824.94,627.97,Delayed,23.0
SHIP00977,ORD00740,FedEx,Sea,Vietnam,Italy,2023-06-03,2023-07-15,2023-07-23,587.02,548.43,Delivered,8.0
SHIP00978,ORD02020,Blue Dart,Sea,Malaysia,Netherlands,2025-01-10,2025-02-04,2025-02-23,1480.13,1628.5,Delayed,19.0
SHIP00979,ORD00979,DHL,Air,China,Germany,2022-03-26,2022-03-29,2022-03-29,2745.4,441.47,Delivered,0.0
SHIP00980,ORD00411,Blue Dart,Sea,Malaysia,USA,2022-11-21,2023-01-05,2023-01-10,158.19,10.92,Delivered,5.0
SHIP00981,ORD00415,Blue Dart,Sea,India,Germany,2024-09-23,2024-11-05,2024-11-05,293.87,194.79,Delivered,0.0
SHIP00982,ORD03215,DHL,Air,Malaysia,Japan,2024-12-31,2025-01-07,2025-01-07,1849.47,285.68,Delivered,0.0
SHIP00983,ORD03296,Blue Dart,Sea,China,France,2022-10-27,2022-11-27,2022-11-28,152.0,2.46,Delayed,1.0
SHIP00984,ORD01801,Maersk,Sea,India,India,2024-03-28,2024-05-12,2024-05-23,173.13,27.88,Delivered,11.0
SHIP00985,ORD00812,Blue Dart,Sea,China,France,2022-10-12,2022-11-12,2022-11-12,162.62,14.58,Delivered,0.0
SHIP00986,ORD00241,Blue Dart,Sea,China,France,2024-08-23,2024-10-07,,1055.2,1110.04,In Transit,
SHIP00987,ORD01358,DHL,Air,China,Australia,2023-03-01,2023-03-05,,3538.88,565.63,In Transit,
SHIP00988,ORD00691,Blue Dart,Air,China,Australia,2022-08-01,2022-08-06,2022-08-06,7837.48,1144.49,Delivered,0.0
SHIP00989,ORD04854,Nippon Express,Air,China,Singapore,2024-04-17,2024-04-22,2024-04-22,39770.85,5663.97,Delivered,0.0
SHIP00990,ORD01062,Maersk,Sea,Malaysia,UAE,2024-05-13,2024-06-16,2024-06-16,1353.71,1597.35,Delivered,0.0
SHIP00991,ORD04512,DB Schenker,Air,Vietnam,Germany,2022-12-06,2022-12-13,2022-12-13,105.86,6.69,Delivered,0.0
SHIP00992,ORD01286,DB Schenker,Sea,India,USA,2024-10-25,2024-11-13,2024-11-13,6822.65,7858.46,Delivered,0.0
SHIP00993,ORD00115,DB Schenker,Sea,Vietnam,India,2024-12-06,2025-01-19,,210.72,78.96,In Transit,
SHIP00994,ORD04406,Maersk,Sea,China,India,2024-07-12,2024-08-17,2024-08-17,723.09,716.34,Delivered,0.0
SHIP00995,ORD03635,DHL,Sea,Malaysia,Mexico,2024-07-05,2024-07-20,2024-07-20,629.35,609.52,Delivered,0.0
SHIP00996,ORD00736,DHL,Sea,China,Thailand,2025-01-08,2025-02-21,2025-03-19,724.04,755.24,Delayed,26.0
SHIP00997,ORD02033,Nippon Express,Air,China,Thailand,2022-01-17,2022-01-23,2022-01-27,20587.47,3148.34,Delivered,4.0
SHIP00998,ORD03170,Maersk,Air,India,Japan,2022-09-18,2022-09-23,2022-09-23,204.35,20.66,Delivered,0.0
SHIP00999,ORD04428,Maersk,Sea,India,Singapore,2023-05-24,2023-06-22,2023-07-13,1018.22,1187.08,Delayed,21.0
SHIP01000,ORD04489,Nippon Express,Sea,India,Germany,2022-12-19,2023-02-01,2023-02-02,1062.33,1053.71,Delivered,1.0
SHIP01001,ORD01925,DHL,Sea,China,Saudi Arabia,2024-12-11,2025-01-05,2025-01-05,262.8,154.76,Delivered,0.0
SHIP01002,ORD02897,DHL,Road,Vietnam,Thailand,2022-12-14,2022-12-24,2022-12-24,10945.33,5010.95,Delivered,0.0
SHIP01003,ORD02418,FedEx,Sea,Vietnam,UK,2025-01-03,2025-02-13,2025-02-13,151.06,1.46,Delivered,0.0
SHIP01004,ORD04669,FedEx,Sea,China,UK,2022-11-29,2023-01-05,,6372.2,7445.84,In Transit,
SHIP01005,ORD04998,Blue Dart,Sea,China,Mexico,2022-01-31,2022-03-14,2022-03-14,357.09,280.58,Delivered,0.0
SHIP01006,ORD00690,FedEx,Sea,Vietnam,South Korea,2023-02-18,2023-04-01,2023-04-01,203.1,62.21,Delivered,0.0
SHIP01007,ORD01056,FedEx,Air,Vietnam,USA,2024-02-20,2024-02-23,2024-02-25,916.24,122.01,Delivered,2.0
SHIP01008,ORD02451,Blue Dart,Air,Vietnam,South Korea,2023-02-24,2023-02-28,,174.73,18.0,In Transit,
SHIP01009,ORD03444,DHL,Rail,India,Bangladesh,2024-02-20,2024-03-09,,9170.39,5523.46,In Transit,
SHIP01010,ORD01645,DB Schenker,Air,India,Germany,2024-02-19,2024-02-24,2024-03-05,19936.35,3121.98,Delivered,10.0
SHIP01011,ORD04412,Maersk,Air,Malaysia,Canada,2023-01-24,2023-01-30,,12012.4,1854.64,In Transit,
SHIP01012,ORD03210,FedEx,Air,India,Mexico,2023-04-27,2023-05-01,,1342.13,200.48,In Transit,
SHIP01013,ORD04720,DB Schenker,Sea,China,South Korea,2022-06-21,2022-08-02,2022-08-02,2752.86,3224.78,Delivered,0.0
SHIP01014,ORD01704,FedEx,Sea,China,South Korea,2024-12-05,2025-01-15,2025-01-26,154.28,4.93,Delayed,11.0
SHIP01015,ORD03407,Nippon Express,Sea,Malaysia,UK,2023-09-11,2023-10-04,2023-10-06,3170.76,4097.28,Delivered,2.0
SHIP01016,ORD04443,FedEx,Air,Malaysia,Japan,2024-08-15,2024-08-21,,3196.86,493.0,In Transit,
SHIP01017,ORD03103,Nippon Express,Sea,Malaysia,South Korea,2022-07-05,2022-08-07,2022-08-07,318.26,216.53,Delivered,0.0
SHIP01018,ORD00784,Blue Dart,Sea,India,Mexico,2023-01-13,2023-01-31,2023-01-31,1020.42,1182.66,Delivered,0.0
SHIP01019,ORD01052,Maersk,Air,China,Mexico,2022-05-24,2022-05-27,,3580.25,513.26,In Transit,
SHIP01020,ORD00429,FedEx,Sea,China,Italy,2023-03-28,2023-05-04,2023-05-04,282.36,178.34,Delivered,0.0
SHIP01021,ORD01896,Nippon Express,Sea,Vietnam,USA,2024-05-01,2024-06-13,2024-06-13,1826.1,2303.96,Delivered,0.0
SHIP01022,ORD01189,Maersk,Air,India,Singapore,2022-01-19,2022-01-24,2022-01-24,10351.62,1446.33,Delivered,0.0
SHIP01023,ORD01451,FedEx,Air,Malaysia,South Korea,2022-04-17,2022-04-22,2022-05-04,72.09,1.79,Delivered,12.0
SHIP01024,ORD01353,Blue Dart,Air,India,UAE,2023-03-20,2023-03-26,2023-03-26,5412.17,787.24,Delivered,0.0
SHIP01025,ORD00839,FedEx,Sea,China,France,2022-11-05,2022-12-18,2022-12-19,5577.04,6683.49,Delivered,1.0
SHIP01026,ORD02364,Blue Dart,Sea,India,UK,2023-10-27,2023-11-17,2023-11-17,322.59,230.91,Delivered,0.0
SHIP01027,ORD00832,DHL,Air,China,Australia,2023-08-26,2023-08-31,2023-09-12,8189.49,1242.24,Delivered,12.0
SHIP01028,ORD04924,DB Schenker,Air,Vietnam,Indonesia,2023-04-10,2023-04-15,,734.04,98.26,In Transit,
SHIP01029,ORD00099,DB Schenker,Sea,Malaysia,South Korea,2023-02-23,2023-03-17,,1739.37,1907.19,In Transit,
SHIP01030,ORD01967,Maersk,Air,Vietnam,Australia,2023-04-10,2023-04-17,2023-04-17,4076.89,600.94,Delivered,0.0
SHIP01031,ORD04774,Nippon Express,Sea,China,Italy,2024-12-08,2025-01-03,2025-01-07,4170.09,5483.2,Delayed,4.0
SHIP01032,ORD00193,DB Schenker,Air,Vietnam,South Korea,2022-02-14,2022-02-19,2022-02-19,80317.2,11993.27,Delivered,0.0
SHIP01033,ORD03106,Nippon Express,Sea,Malaysia,Italy,2024-06-07,2024-07-18,2024-08-13,2221.99,2835.44,Delayed,26.0
SHIP01034,ORD04758,Nippon Express,Road,Vietnam,India,2023-06-14,2023-06-17,2023-06-17,5292.86,2203.58,Delivered,0.0
SHIP01035,ORD04190,DB Schenker,Air,Vietnam,Germany,2023-08-15,2023-08-19,2023-08-19,4464.25,632.75,Delivered,0.0
SHIP01036,ORD03784,DB Schenker,Air,India,Saudi Arabia,2023-07-30,2023-08-04,2023-08-14,26903.17,4564.87,Delivered,10.0
SHIP01037,ORD04423,Nippon Express,Sea,India,Thailand,2022-05-20,2022-06-30,2022-06-30,194.94,59.58,Delivered,0.0
SHIP01038,ORD00770,Nippon Express,Sea,Vietnam,Italy,2024-04-11,2024-05-11,,787.39,785.86,In Transit,
SHIP01039,ORD03678,FedEx,Sea,China,France,2024-06-23,2024-07-21,2024-08-11,170.15,27.71,Delayed,21.0
SHIP01040,ORD02444,FedEx,Sea,China,Saudi Arabia,2023-03-01,2023-03-18,2023-03-18,5794.5,6521.24,Delivered,0.0
SHIP01041,ORD02026,Nippon Express,Air,China,Australia,2022-05-29,2022-06-01,2022-06-01,10074.93,1426.97,Delivered,0.0
SHIP01042,ORD00870,DB Schenker,Air,India,Germany,2022-11-05,2022-11-12,2022-11-15,2204.15,353.25,Delivered,3.0
SHIP01043,ORD03867,FedEx,Sea,Malaysia,USA,2024-04-15,2024-05-01,2024-05-15,381.08,266.44,Delayed,14.0
SHIP01044,ORD01122,Nippon Express,Sea,China,Germany,2023-02-08,2023-02-23,2023-03-05,1187.71,1246.51,Delivered,10.0
SHIP01045,ORD02982,Blue Dart,Sea,India,UAE,2024-08-06,2024-08-30,,2542.19,3013.18,In Transit,
SHIP01046,ORD03577,Nippon Express,Air,Malaysia,Germany,2023-09-11,2023-09-17,2023-09-17,5325.74,816.76,Delivered,0.0
SHIP01047,ORD03360,Maersk,Sea,India,Japan,2024-12-10,2024-12-27,2024-12-27,151.44,1.87,Delivered,0.0
SHIP01048,ORD01754,Maersk,Air,Vietnam,South Korea,2023-09-27,2023-10-04,2023-10-04,11214.88,1687.2,Delivered,0.0
SHIP01049,ORD02110,Nippon Express,Air,India,Germany,2024-03-31,2024-04-04,2024-04-04,543.22,72.86,Delivered,0.0
SHIP01050,ORD04832,Nippon Express,Air,Malaysia,Thailand,2022-10-13,2022-10-18,2022-10-18,5934.39,967.58,Delivered,0.0
SHIP01051,ORD04728,Nippon Express,Air,Vietnam,USA,2024-10-21,2024-10-28,2024-10-28,78.14,2.8,Delivered,0.0
SHIP01052,ORD01081,FedEx,Road,Vietnam,Thailand,2023-11-26,2023-12-01,2023-12-28,1307.95,625.05,Delayed,27.0
SHIP01053,ORD00560,DHL,Air,Vietnam,USA,2023-02-21,2023-02-26,2023-02-26,15047.15,2186.32,Delivered,0.0
SHIP01054,ORD03979,FedEx,Sea,Malaysia,Australia,2024-09-28,2024-11-02,,1037.29,1047.28,In Transit,
SHIP01055,ORD04717,Nippon Express,Air,Vietnam,Saudi Arabia,2022-10-01,2022-10-06,2022-10-06,247.77,26.97,Delivered,0.0
SHIP01056,ORD02350,FedEx,Air,China,Thailand,2022-08-14,2022-08-20,2022-09-02,27978.55,4724.86,Delivered,13.0
SHIP01057,ORD00057,DHL,Sea,Malaysia,Netherlands,2024-03-09,2024-04-17,2024-05-01,2365.65,2680.42,Delivered,14.0
SHIP01058,ORD01460,DHL,Sea,China,USA,2022-09-25,2022-10-11,2022-10-11,175.34,29.46,Delivered,0.0
SHIP01059,ORD01591,DHL,Air,Malaysia,Japan,2024-10-29,2024-11-05,2024-11-05,44405.7,7054.8,Delivered,0.0
SHIP01060,ORD00150,Blue Dart,Sea,Malaysia,Singapore,2023-03-08,2023-04-16,2023-04-16,785.32,750.29,Delivered,0.0
SHIP01061,ORD03990,Nippon Express,Sea,Vietnam,UK,2024-06-03,2024-06-27,2024-06-27,363.22,295.77,Delivered,0.0
SHIP01062,ORD00324,DB Schenker,Sea,India,Canada,2024-08-03,2024-09-07,2024-09-07,1592.19,1745.05,Delivered,0.0
SHIP01063,ORD02557,DB Schenker,Sea,Malaysia,UK,2024-09-29,2024-10-26,2024-10-26,247.26,128.22,Delivered,0.0
SHIP01064,ORD02408,DB Schenker,Sea,Malaysia,Netherlands,2023-11-28,2023-12-24,2023-12-24,155.58,7.62,Delivered,0.0
SHIP01065,ORD02731,Maersk,Sea,China,Thailand,2024-12-12,2024-12-31,,153.47,4.34,In Transit,
SHIP01066,ORD01404,DB Schenker,Sea,China,Bangladesh,2023-12-28,2024-01-23,2024-01-23,924.32,994.44,Delivered,0.0
SHIP01067,ORD01424,Nippon Express,Sea,Malaysia,Mexico,2024-03-11,2024-04-12,2024-04-12,1965.58,2226.44,Delivered,0.0
SHIP01068,ORD03306,Nippon Express,Sea,China,Singapore,2023-01-30,2023-02-16,2023-02-27,912.07,889.24,Delivered,11.0
SHIP01069,ORD03668,Maersk,Sea,India,UAE,2023-12-19,2024-01-24,2024-01-24,234.78,108.31,Delivered,0.0
SHIP01070,ORD04554,Blue Dart,Air,Malaysia,UK,2023-03-15,2023-03-21,2023-03-21,180.42,17.07,Delivered,0.0
SHIP01071,ORD04385,Nippon Express,Air,China,Australia,2023-12-01,2023-12-06,2023-12-06,6859.41,1096.85,Delivered,0.0
SHIP01072,ORD02655,Blue Dart,Air,Vietnam,USA,2023-04-22,2023-04-27,2023-05-07,86.83,3.91,Delivered,10.0
SHIP01073,ORD00236,Nippon Express,Sea,Vietnam,Saudi Arabia,2022-03-11,2022-04-15,2022-04-15,163.65,16.59,Delivered,0.0
SHIP01074,ORD04352,Maersk,Sea,India,South Korea,2024-07-19,2024-08-27,2024-08-29,258.87,135.68,Delivered,2.0
SHIP01075,ORD04033,Blue Dart,Air,Vietnam,Japan,2022-07-09,2022-07-14,2022-07-14,1458.0,217.28,Delivered,0.0
SHIP01076,ORD00281,Blue Dart,Sea,Vietnam,Saudi Arabia,2024-06-27,2024-07-18,,225.09,86.69,In Transit,
SHIP01077,ORD01317,Blue Dart,Sea,India,USA,2023-09-10,2023-10-03,2023-10-15,234.17,102.18,Delivered,12.0
SHIP01078,ORD01042,Maersk,Sea,China,India,2023-08-17,2023-09-04,2023-09-24,1869.19,2210.38,Delayed,20.0
SHIP01079,ORD04495,Maersk,Air,Malaysia,Singapore,2024-10-30,2024-11-04,2024-11-17,1322.21,192.18,Delivered,13.0
SHIP01080,ORD03012,Nippon Express,Sea,Vietnam,Italy,2023-09-16,2023-10-23,2023-10-23,3215.65,3793.18,Delivered,0.0
SHIP01081,ORD04643,Maersk,Sea,China,Australia,2022-04-16,2022-05-11,2022-06-04,1683.44,1782.41,Delayed,24.0
SHIP01082,ORD04932,Blue Dart,Road,China,Singapore,2024-12-30,2025-01-04,,2828.68,1395.53,In Transit,
SHIP01083,ORD00256,DHL,Sea,Malaysia,Netherlands,2023-05-07,2023-05-22,2023-05-22,177.57,34.87,Delivered,0.0
SHIP01084,ORD03084,FedEx,Air,Malaysia,Thailand,2024-08-24,2024-08-30,2024-09-02,2671.91,401.02,Delayed,3.0
SHIP01085,ORD01897,Maersk,Sea,Vietnam,India,2023-07-11,2023-08-03,2023-08-03,195.54,61.18,Delivered,0.0
SHIP01086,ORD00418,Blue Dart,Sea,China,Canada,2022-04-17,2022-05-11,2022-05-14,292.89,198.43,Delivered,3.0
SHIP01087,ORD02523,Maersk,Air,China,Singapore,2022-05-07,2022-05-11,2022-05-11,2373.37,395.26,Delivered,0.0
